scheme,batch,median_tps,q1_tps,q3_tps
evML-DSA,1,3089.2,1922.2,5922.7
evML-DSA,10,1944.6,1875.5,3000.6
evML-DSA,100,1868.5,1610.7,2138.3
evML-DSA,1000,2828.1,2367.3,2991.4
evML-DSA,10000,2359.0,1885.0,2393.6
plain ML-DSA,1,1601.5,1085.8,4112.6
plain ML-DSA,10,3321.1,1599.7,4937.6
plain ML-DSA,100,3275.7,3179.1,3842.0
plain ML-DSA,1000,3007.4,2938.6,3464.3
plain ML-DSA,10000,3155.6,3083.4,3210.0
