n_records,rep,total_s,per_record_us
1024,0,0.117,114.74
1024,1,0.138,135.19
1024,2,0.187,182.25
4096,0,0.521,127.22
4096,1,0.569,138.94
4096,2,0.574,140.09
16384,0,2.374,144.92
16384,1,1.998,121.94
16384,2,2.293,139.93
65536,0,9.370,142.98
65536,1,9.638,147.06
65536,2,9.673,147.59
262144,0,34.543,131.77
262144,1,31.787,121.26
262144,2,33.766,128.81
RE RUN_DONE
