scheme,d,rep,verify_us
rechain,4,31,298.81
rechain,4,32,325.68
rechain,4,33,338.19
rechain,4,34,302.07
rechain,4,35,308.79
rechain,4,36,307.87
rechain,4,37,341.28
rechain,4,38,327.71
rechain,4,39,322.14
rechain,4,40,305.55
rechain,4,41,310.58
rechain,4,42,335.71
rechain,4,43,311.06
rechain,4,44,309.37
rechain,4,45,288.52
rechain,4,46,290.78
rechain,4,47,296.27
rechain,4,48,310.36
rechain,4,49,2009.61
rechain,4,50,766.38
rechain,4,51,4884.32
rechain,4,52,1079.16
rechain,4,53,373.71
rechain,4,54,337.91
rechain,4,55,300.14
rechain,4,56,283.72
rechain,4,57,340.65
rechain,4,58,335.49
rechain,4,59,346.35
rechain,4,60,367.12
rechain,4,61,418.71
rechain,4,62,404.53
rechain,4,63,407.35
rechain,4,64,446.95
rechain,4,65,429.54
rechain,4,66,438.86
rechain,4,67,404.73
rechain,4,68,424.09
rechain,4,69,385.79
rechain,4,70,623.28
rechain,4,71,403.86
rechain,4,72,617.84
rechain,4,73,706.71
rechain,4,74,312.57
rechain,4,75,279.30
rechain,4,76,303.43
rechain,4,77,354.42
rechain,4,78,339.60
rechain,4,79,1079.53
rechain,4,80,311.83
rechain,4,81,329.48
rechain,4,82,358.44
rechain,4,83,372.79
rechain,4,84,389.58
rechain,4,85,428.98
rechain,4,86,405.99
rechain,4,87,345.69
rechain,4,88,544.75
rechain,4,89,362.88
rechain,4,90,284.22
rechain,4,91,306.77
rechain,4,92,383.34
rechain,4,93,510.60
rechain,4,94,348.50
rechain,4,95,331.32
rechain,4,96,324.03
rechain,4,97,360.47
rechain,4,98,332.85
rechain,4,99,356.58
rechain,8,0,562.33
rechain,8,1,553.68
rechain,8,2,551.54
rechain,8,3,529.88
rechain,8,4,536.70
rechain,8,5,1216.02
rechain,8,6,502.50
rechain,8,7,515.35
rechain,8,8,583.62
rechain,8,9,680.20
rechain,8,10,473.28
rechain,8,11,747.76
rechain,8,12,491.26
rechain,8,13,1129.71
rechain,8,14,981.59
rechain,8,15,835.19
rechain,8,16,668.75
rechain,8,17,514.31
rechain,8,18,816.38
rechain,8,19,459.70
rechain,8,20,468.56
rechain,8,21,518.65
rechain,8,22,622.05
rechain,8,23,628.13
rechain,8,24,617.74
rechain,8,25,639.31
rechain,8,26,607.11
rechain,8,27,596.53
rechain,8,28,3336.72
rechain,8,29,805.33
rechain,8,30,496.77
rechain,8,31,534.43
rechain,8,32,591.54
rechain,8,33,601.85
rechain,8,34,635.84
rechain,8,35,676.91
rechain,8,36,740.15
rechain,8,37,589.72
rechain,8,38,626.85
rechain,8,39,462.30
rechain,8,40,517.84
rechain,8,41,593.97
rechain,8,42,599.06
rechain,8,43,614.25
rechain,8,44,598.86
rechain,8,45,569.12
rechain,8,46,552.13
rechain,8,47,562.30
rechain,8,48,583.83
rechain,8,49,541.05
rechain,8,50,557.09
rechain,8,51,585.62
rechain,8,52,555.93
rechain,8,53,552.48
rechain,8,54,593.00
rechain,8,55,773.02
rechain,8,56,491.73
rechain,8,57,522.02
rechain,8,58,572.23
rechain,8,59,609.71
rechain,8,60,620.82
rechain,8,61,912.07
rechain,8,62,1201.65
rechain,8,63,639.33
rechain,8,64,1002.08
rechain,8,65,1384.96
rechain,8,66,515.98
rechain,8,67,553.00
rechain,8,68,597.87
rechain,8,69,570.06
rechain,8,70,572.71
rechain,8,71,579.64
rechain,8,72,548.12
rechain,8,73,550.14
rechain,8,74,538.03
rechain,8,75,553.59
rechain,8,76,520.16
rechain,8,77,532.40
rechain,8,78,553.85
rechain,8,79,551.66
rechain,8,80,547.58
rechain,8,81,585.46
rechain,8,82,2061.71
rechain,8,83,428.23
rechain,8,84,467.57
rechain,8,85,519.74
rechain,8,86,565.74
rechain,8,87,610.83
rechain,8,88,1410.58
rechain,8,89,506.44
rechain,8,90,3655.77
rechain,8,91,1989.78
rechain,8,92,1183.84
rechain,8,93,1604.72
rechain,8,94,2669.72
rechain,8,95,918.33
rechain,8,96,3911.16
rechain,8,97,959.56
rechain,8,98,915.62
rechain,8,99,1379.63
rechain,16,0,884.38
rechain,16,1,853.64
rechain,16,2,2407.33
rechain,16,3,1628.43
rechain,16,4,1935.07
rechain,16,5,1232.80
rechain,16,6,1073.82
rechain,16,7,1294.10
rechain,16,8,1426.05
rechain,16,9,1477.65
rechain,16,10,1407.42
rechain,16,11,4980.59
rechain,16,12,3794.75
rechain,16,13,1915.12
rechain,16,14,868.89
rechain,16,15,996.45
rechain,16,16,1013.19
rechain,16,17,957.86
rechain,16,18,923.15
rechain,16,19,884.99
rechain,16,20,883.77
rechain,16,21,886.66
rechain,16,22,5335.18
rechain,16,23,931.07
rechain,16,24,1132.15
rechain,16,25,1692.61
rechain,16,26,1280.69
rechain,16,27,977.33
rechain,16,28,1128.60
rechain,16,29,1156.55
rechain,16,30,1170.78
rechain,16,31,1066.50
rechain,16,32,1044.03
rechain,16,33,1370.36
rechain,16,34,4350.35
rechain,16,35,1881.33
rechain,16,36,2745.24
rechain,16,37,937.10
rechain,16,38,1140.47
rechain,16,39,1385.88
rechain,16,40,1511.32
rechain,16,41,1394.50
rechain,16,42,1301.67
rechain,16,43,4279.00
rechain,16,44,1139.69
rechain,16,45,1090.42
rechain,16,46,1215.09
rechain,16,47,1327.22
rechain,16,48,1893.43
rechain,16,49,867.79
rechain,16,50,1098.00
rechain,16,51,1073.82
rechain,16,52,1056.18
rechain,16,53,997.38
rechain,16,54,983.90
rechain,16,55,5189.12
rechain,16,56,1334.40
rechain,16,57,982.13
rechain,16,58,2545.21
rechain,16,59,930.73
rechain,16,60,1108.55
rechain,16,61,1159.87
rechain,16,62,1142.55
rechain,16,63,1085.66
rechain,16,64,1058.23
rechain,16,65,1023.73
rechain,16,66,2578.30
rechain,16,67,3215.65
rechain,16,68,2111.52
rechain,16,69,1171.17
rechain,16,70,2085.64
rechain,16,71,894.96
rechain,16,72,1030.25
rechain,16,73,983.20
rechain,16,74,4955.77
rechain,16,75,1610.63
rechain,16,76,1401.04
rechain,16,77,911.04
rechain,16,78,1099.06
rechain,16,79,1448.02
rechain,16,80,877.62
rechain,16,81,993.62
rechain,16,82,1045.58
rechain,16,83,1304.36
rechain,16,84,980.97
rechain,16,85,1172.55
rechain,16,86,1478.74
rechain,16,87,4018.87
rechain,16,88,1082.36
rechain,16,89,1244.85
rechain,16,90,1033.05
rechain,16,91,1166.96
rechain,16,92,1170.66
rechain,16,93,1061.02
rechain,16,94,919.59
rechain,16,95,1036.42
rechain,16,96,3954.12
rechain,16,97,2805.30
rechain,16,98,1782.27
rechain,16,99,881.20
rechain,32,0,1806.86
rechain,32,1,2821.52
rechain,32,2,2737.03
rechain,32,3,2403.18
rechain,32,4,2697.26
rechain,32,5,2228.09
rechain,32,6,2087.48
rechain,32,7,2265.79
rechain,32,8,2058.37
rechain,32,9,2114.08
rechain,32,10,2240.65
rechain,32,11,2502.98
rechain,32,12,1892.83
rechain,32,13,3868.16
rechain,32,14,2218.84
rechain,32,15,2036.94
rechain,32,16,2592.19
rechain,32,17,2134.19
rechain,32,18,2035.10
rechain,32,19,2020.97
rechain,32,20,1845.47
rechain,32,21,1846.58
rechain,32,22,1849.82
rechain,32,23,2104.74
rechain,32,24,2394.67
rechain,32,25,2961.06
rechain,32,26,1876.91
rechain,32,27,2133.80
rechain,32,28,2627.66
rechain,32,29,8196.28
rechain,32,30,2525.71
rechain,32,31,2228.19
rechain,32,32,1834.41
rechain,32,33,2293.25
rechain,32,34,4386.52
rechain,32,35,2843.95
rechain,32,36,3108.29
rechain,32,37,1821.16
rechain,32,38,2375.69
rechain,32,39,3374.17
rechain,32,40,1950.60
rechain,32,41,4391.67
rechain,32,42,1741.37
rechain,32,43,1929.33
rechain,32,44,2237.32
rechain,32,45,5435.45
rechain,32,46,2654.87
rechain,32,47,3273.66
rechain,32,48,2094.82
rechain,32,49,2070.12
rechain,32,50,2012.40
rechain,32,51,3451.51
rechain,32,52,3641.74
rechain,32,53,1936.94
rechain,32,54,2586.74
rechain,32,55,2238.56
rechain,32,56,2293.50
rechain,32,57,2654.03
rechain,32,58,2070.22
rechain,32,59,2695.09
rechain,32,60,2118.79
rechain,32,61,1848.03
rechain,32,62,1854.25
rechain,32,63,1749.98
rechain,32,64,2006.18
rechain,32,65,1975.50
rechain,32,66,2401.59
rechain,32,67,2030.30
rechain,32,68,2639.73
rechain,32,69,2702.23
rechain,32,70,2488.37
rechain,32,71,2956.93
rechain,32,72,2381.06
rechain,32,73,2696.79
rechain,32,74,2354.06
rechain,32,75,2937.03
rechain,32,76,5327.97
rechain,32,77,2069.30
rechain,32,78,2106.26
rechain,32,79,1990.40
rechain,32,80,2358.16
rechain,32,81,5660.37
rechain,32,82,2067.20
rechain,32,83,2774.45
rechain,32,84,1783.44
rechain,32,85,2428.17
rechain,32,86,5110.11
rechain,32,87,1788.82
rechain,32,88,1773.68
rechain,32,89,2095.33
rechain,32,90,2537.02
rechain,32,91,1964.24
rechain,32,92,2007.91
rechain,32,93,2326.52
rechain,32,94,7348.62
rechain,32,95,7221.74
rechain,32,96,1896.41
rechain,32,97,6571.17
rechain,32,98,2221.38
rechain,32,99,7195.37
rechain,64,0,8901.65
rechain,64,1,8477.60
rechain,64,2,3896.67
rechain,64,3,5792.53
rechain,64,4,16976.52
rechain,64,5,7758.32
rechain,64,6,7718.28
rechain,64,7,7062.68
rechain,64,8,3655.89
rechain,64,9,7707.64
rechain,64,10,10839.39
rechain,64,11,4046.00
rechain,64,12,8117.00
rechain,64,13,3576.22
rechain,64,14,12368.43
rechain,64,15,3393.38
rechain,64,16,9959.66
rechain,64,17,7872.42
rechain,64,18,7870.64
rechain,64,19,11162.08
rechain,64,20,3493.07
rechain,64,21,14003.25
rechain,64,22,5895.48
rechain,64,23,7372.52
rechain,64,24,6710.06
rechain,64,25,15723.72
rechain,64,26,8371.16
rechain,64,27,12777.95
rechain,64,28,13800.43
rechain,64,29,15530.93
rechain,64,30,8987.24
rechain,64,31,15274.10
rechain,64,32,5659.17
rechain,64,33,10755.28
rechain,64,34,7727.27
rechain,64,35,10376.08
rechain,64,36,3745.23
rechain,64,37,12164.99
