op,T,reps,mean_us,std_us,median_us
keygen,256,5,36895.41,19652.76,33568.36
sign,256,1000,349.91,495.18,225.31
verify,256,1000,100.02,81.52,78.62
evolve_avg,256,200,68.72,48.25,66.95
evolve_max,256,1,725.02,0.00,725.02
keygen,1024,5,107318.42,21681.93,113335.61
sign,1024,1000,437.15,496.32,276.72
verify,1024,1000,112.14,187.12,84.97
evolve_avg,1024,200,70.58,94.52,59.32
evolve_max,1024,1,1256.34,0.00,1256.34
keygen,65536,1,6624500.88,0.00,6624500.88
sign,65536,1000,340.59,340.23,236.40
verify,65536,1000,104.40,163.38,80.55
evolve_avg,65536,200,64.26,55.61,58.02
evolve_max,65536,1,780.44,0.00,780.44
# sizes: sig=3960 (T=2^8/2^10: 3960/4024), pk=68, sk_secrets~1333
ALL_CLEANROOM_DONE
