op,T,reps,mean_us,std_us,median_us
keygen,256,5,69985.86,3923.84,67543.61
sign,256,1000,985.94,701.78,787.43
verify,256,1000,246.94,62.78,235.04
evolve_avg,256,200,248.79,105.99,226.07
evolve_max,256,1,777.01,0.00,777.01
keygen,1024,5,209781.66,66971.04,224150.97
sign,1024,1000,773.48,686.81,538.31
verify,1024,1000,237.59,55.97,225.98
evolve_avg,1024,200,242.88,70.24,226.76
evolve_max,1024,1,659.50,0.00,659.50
keygen,65536,1,13166417.85,0.00,13166417.85
sign,65536,1000,514.19,436.65,369.07
verify,65536,1000,292.28,272.52,243.64
evolve_avg,65536,200,94.75,18.17,92.67
evolve_max,65536,1,232.54,0.00,232.54
# sizes: sig=5489 (T=2^8/2^10: 5489/5553), pk=68, sk_secrets~1333
